Total messages: 184 (Errors: 0, Warnings: 0)

[LOG] [QuestEngine] condition=goal_percent, current=50, value=150, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=26, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=38, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=exact_amount_tail, current=0, value=88, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=40, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=100, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=27, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=time_completion_deadline, current=0, value=0.8, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=42, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=45, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=16, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=49, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=37, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=48, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=31, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=30, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=41, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=19, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_streak, current=0, value=1, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=social_remind_sent, current=0, value=3, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=social_reaction_cheers, current=0, value=5, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_weekly_days, current=0, value=3, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_weekly_days, current=0, value=4, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_weekly_days, current=0, value=5, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_weekly_days, current=0, value=6, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_weekly_days, current=0, value=7, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=photo_proof_location, current=0, value=0, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=photo_proof_meal, current=0, value=0, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=photo_proof_desk, current=0, value=0, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=150, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=exact_amount_tail, current=0, value=88, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=130, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_total, current=25266, value=70000, progress=25266, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=120, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_total, current=25266, value=85000, progress=25266, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_today, current=9548, value=10000, progress=9548, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=130, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_total, current=25266, value=95000, progress=25266, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=120, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_total, current=25266, value=50000, progress=25266, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_total, current=25266, value=100000, progress=25266, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=150, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=100, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_total, current=25266, value=30000, progress=25266, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=130, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=100, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=100, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=150, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_total, current=25266, value=90000, progress=25266, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=150, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=120, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_total, current=25266, value=60000, progress=25266, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=120, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_total, current=25266, value=55000, progress=25266, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=100, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=log_count, current=6, value=120, progress=6, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=130, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=time_window_drink, current=0, value=300, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=130, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=time_completion_deadline, current=0, value=0.8, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_weekly_days, current=0, value=2, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_streak, current=0, value=1, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_weekly_days, current=0, value=7, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_streak, current=0, value=25, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=social_remind_sent, current=0, value=3, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=social_reaction_cheers, current=0, value=5, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=club_sync_complete, current=0, value=3, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=photo_proof_location, current=0, value=0, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=photo_proof_meal, current=0, value=0, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=photo_proof_desk, current=0, value=0, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=exact_amount_tail, current=0, value=88, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=weather_trigger_drink, current=0, value=35, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=time_window_drink, current=0, value=300, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=time_completion_deadline, current=0, value=0.8, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_streak, current=0, value=1, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=social_remind_sent, current=0, value=3, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=social_reaction_cheers, current=0, value=5, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=photo_proof_location, current=0, value=0, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=photo_proof_meal, current=0, value=0, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=photo_proof_desk, current=0, value=0, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=exact_amount_tail, current=0, value=88, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=100, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=120, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_today, current=9548, value=12000, progress=9548, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=100, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_today, current=9548, value=12000, progress=9548, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=100, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=100, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=100, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=100, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=150, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=120, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=120, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=100, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=100, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_total, current=25266, value=40000, progress=25266, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=150, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=120, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=130, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=150, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=150, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_total, current=25266, value=80000, progress=25266, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_total, current=25266, value=45000, progress=25266, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=100, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=120, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=130, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_today, current=9548, value=12000, progress=9548, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=130, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=log_count, current=6, value=120, progress=6, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=150, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_today, current=9548, value=12000, progress=9548, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=time_window_drink, current=0, value=300, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=time_completion_deadline, current=0, value=0.8, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_streak, current=0, value=1, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=social_remind_sent, current=0, value=3, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=social_reaction_cheers, current=0, value=5, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=photo_proof_location, current=0, value=0, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=photo_proof_meal, current=0, value=0, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=log_count, current=6, value=120, progress=6, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=photo_proof_desk, current=0, value=0, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=exact_amount_tail, current=0, value=88, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_streak, current=0, value=25, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=time_window_drink, current=0, value=300, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=time_completion_deadline, current=0, value=0.8, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_streak, current=0, value=1, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=social_remind_sent, current=0, value=3, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=social_reaction_cheers, current=0, value=5, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=photo_proof_location, current=0, value=0, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=photo_proof_meal, current=0, value=0, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=photo_proof_desk, current=0, value=0, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=exact_amount_tail, current=0, value=88, progress=0, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=44, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=50, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=36, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=level, current=12, value=47, progress=12, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=150, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=log_count, current=6, value=120, progress=6, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=100, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=120, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=120, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=130, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=goal_percent, current=50, value=120, progress=50, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
[LOG] [QuestEngine] condition=drink_total, current=25266, value=35000, progress=25266, completed=false @ http://localhost:5173/src/lib/questEngine.ts:14
